27.50,38.36,50.00,40.00
27.60,38.66,50.00,40.00
27.70,38.55,50.00,40.00
27.80,37.62,50.00,40.00
27.90,37.58,50.00,40.00
28.00,37.64,50.00,40.00
28.10,37.75,50.00,40.00
28.20,38.74,50.00,40.00
28.30,39.29,50.00,40.00
28.40,38.53,50.00,40.00
28.50,39.29,50.00,40.00
28.60,39.18,50.00,40.00
28.70,37.51,50.00,40.00
28.80,37.67,50.00,40.00
28.90,37.80,50.00,40.00
29.00,38.36,50.00,40.00
29.10,37.86,50.00,40.00
29.20,37.64,50.00,40.00
29.30,38.26,50.00,40.00
29.40,37.49,50.00,40.00
29.50,38.59,50.00,40.00
29.60,39.29,50.00,40.00
29.70,38.50,50.00,40.00
29.80,37.73,50.00,50.00
29.90,37.73,50.00,50.00
30.00,39.23,50.00,50.00
30.10,37.72,50.00,50.00
30.20,37.61,50.00,50.00
30.30,37.87,50.00,50.00
30.40,38.52,50.00,50.00
30.50,38.12,50.00,50.00
30.60,38.23,50.00,50.00
30.70,37.75,50.00,50.00
30.80,39.28,50.00,50.00
30.90,39.17,50.00,50.00
31.00,39.83,50.00,50.00
31.10,39.82,50.00,50.00
31.20,40.07,50.00,50.00
31.30,39.67,50.00,50.00
31.40,39.52,50.00,50.00
31.50,40.46,50.00,50.00
31.60,41.45,50.00,50.00
31.70,41.27,50.00,50.00
31.80,41.14,50.00,50.00
31.90,41.87,50.00,50.00
32.00,41.85,50.00,50.00
32.10,41.94,50.00,50.00
32.20,42.90,50.00,50.00
32.30,42.08,50.00,50.00
32.40,42.34,50.00,50.00
32.50,43.34,50.00,50.00
32.60,42.92,50.00,50.00
32.70,43.21,50.00,50.00
32.80,44.04,50.00,50.00
32.90,44.32,50.00,50.00
33.00,45.26,50.00,50.00
33.10,45.27,50.00,50.00
33.20,44.68,50.00,50.00
33.30,46.31,50.00,50.00
33.40,45.72,50.00,50.00
33.50,45.91,50.00,50.00
33.60,45.57,50.00,50.00
33.70,45.31,50.00,50.00
33.80,45.32,50.00,50.00
33.90,47.14,50.00,50.00
34.00,46.99,50.00,50.00
34.10,45.86,50.00,50.00
34.20,46.27,50.00,50.00
34.30,46.87,50.00,50.00
34.40,46.89,50.00,50.00
34.50,47.50,50.00,50.00
34.60,47.21,50.00,50.00
34.70,47.46,50.00,50.00
34.80,47.89,50.00,50.00
34.90,47.21,50.00,50.00
35.00,48.10,50.00,50.00
35.10,46.71,50.00,50.00
35.20,48.30,50.00,50.00
35.30,47.98,50.00,50.00
35.40,48.11,50.00,50.00
35.50,47.02,50.00,50.00
35.60,48.03,50.00,50.00
35.70,47.48,50.00,50.00
35.80,46.77,50.00,50.00
35.90,48.60,50.00,50.00
36.00,47.84,50.00,50.00
36.10,46.85,50.00,50.00
36.20,48.17,50.00,50.00
36.30,46.83,50.00,50.00
36.40,47.53,50.00,50.00
36.50,47.68,50.00,50.00
36.60,48.28,50.00,50.00
36.70,47.81,50.00,50.00
36.80,47.43,50.00,50.00
36.90,47.02,50.00,50.00
37.00,47.45,50.00,50.00
37.10,47.92,50.00,50.00
37.20,48.85,50.00,50.00
37.30,48.60,50.00,50.00
